are_overrun_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
mourn_for		
are_contradicted_by		
dislike	animations/Stand/Reactions/ShakeBody_1, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/Desperate_5	animations/Stand/Reactions/ShakeBody_1, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/Desperate_5
are_uncovered_by	animations/Stand/Emotions/Neutral/Cautious_1	animations/Stand/Emotions/Neutral/Cautious_1
wait_on	animations/Stand/Waiting/Waddle_2, animations/Stand/Gestures/Thinking_6, animations/Stand/Gestures/Thinking_5, animations/Stand/Gestures/YouKnowWhat_4	animations/Stand/Waiting/Waddle_2, animations/Stand/Gestures/Thinking_6, animations/Stand/Gestures/Thinking_5, animations/Stand/Gestures/YouKnowWhat_4
are_waited_upon_by		
paint		
are_painted_by		
beg_forgiveness_from	animations/Stand/Waiting/Innocent_1	animations/Stand/Waiting/Innocent_1
are_begged_by		
seek_forgiveness_from	animations/Stand/Waiting/Innocent_1	animations/Stand/Waiting/Innocent_1
are_cut_off_by		
are_bored_by	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/Thinking_3, animations/Stand/Gestures/IDontKnow_3	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/Thinking_3, animations/Stand/Gestures/IDontKnow_3
are_bored_with	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/Thinking_3, animations/Stand/Gestures/IDontKnow_3	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/Thinking_3, animations/Stand/Gestures/IDontKnow_3
are_unimpressed_by	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Waiting/Waddle_2, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/IDontKnow_2, animations/Stand/Gestures/WhatSThis_13, animations/Stand/Gestures/WhatSThis_16, animations/Stand/Gestures/YouKnowWhat_4, animations/Stand/Gestures/IDontKnow_3	animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Waiting/Waddle_2, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/IDontKnow_2, animations/Stand/Gestures/WhatSThis_13, animations/Stand/Gestures/WhatSThis_16, animations/Stand/Gestures/YouKnowWhat_4, animations/Stand/Gestures/IDontKnow_3
